NAME	CHR	BEG	END	CLASS	F:M SLOPE	F10	F11	F12	U13	F14A	U14A	F14B	F14B_r2	F14C	F14C_r2	F14D	U14D	M10	M11	M12	M13	M14A	M14A_r2	M14B	M14B_r2	M14C	M14C_r2	M14D	M14D_r2	w1_F10	w1_F11	w1_F12	w1_U13	w1_F14A	w1_U14A	w1_F14B	w1_F14B_r2	w1_F14C	w1_F14C_r2	w1_F14D	w1_U14D	w1_M10	w1_M11	w1_M12	w1_M13	w1_M14A	w1_M14A_r2	w1_M14B	w1_M14B_r2	w1_M14C	w1_M14C_r2	w1_M14D	w1_M14D_r2	cas_F10	cas_F11	cas_F12	cas_U13	cas_F14A	cas_U14A	cas_F14B	cas_F14B_r2	cas_F14C	cas_F14C_r2	cas_F14D	cas_U14D	cas_M10	cas_M11	cas_M12	cas_M13	cas_M14A	cas_M14A_r2	cas_M14B	cas_M14B_r2	cas_M14C	cas_M14C_r2	cas_M14D	cas_M14D_r2
CG9416	2R	15254745	15260747		0.50877193	0	0	0	0	0.04	0	0	0	0.03	0.04	0.02	0.04	0	0	0	0	0.02	0.02	0.02	0.02	0.07	0.05	0	0.02																																																
CG9418	2R	17033712	17035113	mat	0.940101578	30.35	41.74	32.18	37.1	38.22	45.89	43.2	46.67	27.11	33.47	14.57	17.06	35.6	35.01	36.16	44.33	42.56	45.99	46.83	42.04	15.73	35.74	16.07	9.6																																																
CG9422	2R	2563359	2580099	mat	1.206303938	55.05	53.79	37.59	26.2	7.03	5.15	4.51	4.08	5.56	4.02	4.74	6.34	48.05	34.3	35.36	22.24	9.14	8.82	3.08	6.63	7.94	4.42	7.07	6.48																																																
CG9425	3L	14785230	14792466	mat	0.807252227	56.84	47.47	73.9	41.4	56.57	41.43	37.87	127.04	39	101.7	25.03	45.27	68.34	79.59	70.76	78.86	50.05	74.4	34.27	79.85	20.14	75.64	20.68	18.86	56.84	47.47	73.9	41.4	56.57	41.43	37.87	127.04	32.95	96.44	22.25	41.39	68.34	77.32	70.76	78.86	50.05	73.42	34.27	79.85	13.99	74.79	20.68	17.29	0	0	0	0	0	0	0	0	6.05	5.26	2.78	3.88	0	2.27	0	0	0	0.98	0	0	6.15	0.85	0	1.57
CG9426	2L	13216289	13219933	mat	0.948000262	37.25	28.66	33.5	14.13	3.14	1.88	1.61	2.03	2.5	2.77	2.87	2.93	38.38	33.43	28.25	20.51	5.8	3.76	1.13	3.41	2.84	3.36	2.67	1.54	37.25	28.66	33	14.13	0	0	0	0	0	0	0	0	38.38	33.43	27.47	20.51	5.44	0	0	0	0	0	0	1.12	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.78	0	0.36	0	0	0	0	0	0	0.42
CG9427	3R	5450874	5452187		0.314906934	0	0	0	0.17	0.83	0.37	0.06	0.5	0.85	0.66	0.63	0.73	0	0	0	0	0.17	0.13	1.75	0.14	1.03	0.49	0.36	1.23																																																
CG9430	2R	2606120	2607038		0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0.13	0	0.06	0	0																																																
CG9436	2R	2645105	2646404	matzyg	0.837432349	1.52	1.24	2.18	2.04	1.96	1.95	3.74	2.15	5.67	3.19	6.13	7.92	2	3.45	2.39	1.55	1.81	2.22	3	2.28	6.44	4.31	7.61	6.42	0	0	0	0	0	0	0	0	5.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG9437	2R	17056464	17057515	mat	1.035735511	25.27	31.39	25.08	32.67	19.69	14.1	20.21	12.41	20.29	15.33	26.32	21.52	24.87	27.2	29.51	23.48	21.28	19.59	16.8	14.45	23.06	15.82	26.29	27.09																																																
CG9444	3R	5507136	5509744	zyg	1.073641254	0	0.03	0	0	0.16	0	0	0.03	0.42	0.07	0.66	0.71	0	0	0.03	0	0.19	0.03	0.05	0.03	0.3	0.09	0.64	0.87																																																
CG9445	2R	2725578	2726432		0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0.01	0	0																																																
CG9447	2R	2760836	2763118		0	0.03	0	0	0	0	0.06	0.03	0	0	0	0.21	0.23	0	0	0	0	0.03	0	0	0	0	0	0	0.05																																																
CG9449	3L	19485372	19489812		0	0	0.09	0	0.1	0.04	0.04	0.08	0	0.11	0.05	0	0	0	0	0	0	0	0.04	0	0	0	0	0.04	0																																																
CG9451	3L	19491501	19493912		0	0	0.04	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
CG9452	3L	19494109	19496970		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.03	0	0																																																
CG9454	2R	2766822	2768220	zyg	1.238504295	0	0	0	0	0.1	0	0	0.1	0.44	0.21	0.33	0.95	0	0	0	0	0.13	0	0	0	0.37	0.13	0.21	0.38																																																
CG9455	2R	2769169	2770912	zyg	1.069196128	0	0.04	0.11	0	0	0.03	0.17	0.19	2.59	0.69	2.3	3.41	0	0	0	0	0.18	0.09	0.06	0.11	2.59	1.16	1.91	1.61																																																
CG9458	3R	5644635	5645599		0	0	0	0	0	0	0.06	0.18	0	0	0	0	0	0	0.1	0.5	0	0	0	0	0	0	0	0	0																																																
CG9459	3R	5643146	5644108		0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0.05	0	0	0	0	0	0.06	0																																																
CG9460	2R	2773909	2775767		0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.09	0.21	0	0	0.11																																																
CG9463	2L	8765360	8768708		0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
CG9466	2L	8772947	8776257		0.292682927	0	0	0	0	0.02	0	0	0	0	0.04	0	0.02	0	0	0	0	0.06	0.02	0	0	0.02	0	0.01	0																																																
CG9467	3R	5623495	5626773	mat	0.94865131	52.37	49.25	65.1	51.21	69.94	60.99	52.8	89.67	65.14	88.83	53.71	71.82	64.72	61.47	62.55	78.74	63.99	67.68	45.89	75.65	38.4	84.38	44.5	38.82	52.37	49.25	65.1	51.21	69.94	60.99	52.8	89.67	57.66	83.5	48.12	66.43	64.72	0	60.71	78.74	63.99	67.68	45.89	75.65	34.01	81.86	41.08	37.33	0	0	0	0	0	0	0	0	7.48	5.33	5.59	5.39	0	0	1.84	0	0	0	0	0	4.39	2.52	3.42	1.49
CG9468	2L	8777660	8781251		0	0	0.06	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
CG9471	3R	5596253	5597264	mat	0.98363979	68.68	76.26	72	77.31	92.31	95.47	99.67	80.62	85.47	74.03	81.44	73.1	68.46	66	70.27	78.01	109.92	91.55	102.14	90.14	81.94	91.61	78.48	93.69	68.68	76.26	72	77.31	92.31	95.47	99.67	80.62	85.47	74.03	81.44	70.05	68.46	66	69.21	78.01	109.92	90.36	102.14	90.14	81.94	91.61	78.48	93.69	0	0	0	0	0	0	0	0	0	0	0	3.05	0	0	1.06	0	0	1.19	0	0	0	0	0	0
CG9472	3L	19477382	19479569		0.424657534	0	0	0	0	0.03	0	0	0	0	0.06	0.07	0.06	0.06	0	0	0	0.09	0	0.02	0.05	0	0	0.05	0																																																
CG9483	2L	8866766	8867686	zyg	0.741923505	0	0	0	0	0	0	0	0	0.06	0	0.78	0.87	0	0	0	0	0	0	0	0	0.47	0.23	0.22	0.37																																																
CG9485	2R	17200184	17207074	mat	0.965613062	60.61	50.55	62.3	31.7	15.14	7.2	7.82	13.3	4.16	4.7	4.12	5.46	56.33	59.13	55.19	43.84	15.62	14.08	5.36	11.98	5.83	5.35	4.41	2.63	60.42	50.55	62.07	31.7	15.05	7.2	7.82	13.22	2.94	3.31	2.94	4.07	56.15	58.86	55.19	43.42	15.55	14	5.36	11.66	2.86	4.83	3.1	1.66	0.19	0	0.23	0	0.09	0	0	0.08	1.22	1.39	1.18	1.39	0.18	0.27	0	0.42	0.07	0.08	0	0.32	2.97	0.52	1.31	0.97
CG9492	3R	5477291	5499539	zyg	0.769230769	0	0	0	0	0	0.01	0	0.01	0.02	0.01	0.02	0.03	0	0	0	0	0	0	0	0.01	0.03	0.01	0.02	0.04																																																
CG9497	2L	6346541	6348151		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0																																																
CG9498	2L	6349392	6351028		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0																																																
CG9500	2L	6357250	6358235		0	0	0	0	0	0	0	0	0.22	0	0.23	0	0	0	0	0	0	0	0.13	0	0.28	0	0	0	0																																																
CG9503	X	14813284	14817522		0	0	0	0	0	0	0	0	0	0	0	0	0	1.95	1.47	0	0	0	0	0	0	0	0	0	0																																																
CG9505	2L	6367883	6370195	matzyg	0.925047016	0	0.05	0.12	0.64	1.61	1.92	4.72	5.71	10.08	16.74	6.48	5.28	0	0	0.2	0.68	0.93	1.01	8.12	2.98	6.6	9.45	7.61	3.18	0	0	0	0.55	1.26	0	4.25	2.2	5.44	12.04	3.04	3.25	0	0	0	0	0	0	5.83	2.06	4.5	6.95	3.47	1.16	0	0	0	0.09	0.35	0	0.47	3.51	4.64	4.7	3.44	2.03	0	0	0	0	0	0	2.29	0.92	2.1	2.5	4.14	2.02
CG9507	2L	6381265	6383421		1.369230769	0	0	0	0	0.13	0	0.12	0.22	0	1.03	0	0.66	0	0	0	0.06	0.05	0.05	0.02	0.13	0	0.34	0	0																																																
CG9510	2L	8939779	8943264	mat	0.882077764	7.26	0	7.77	6.55	5.67	5.68	2.96	4.15	3.88	2.87	0	4.13	8.22	3.26	7.62	7.34	6.36	4.86	3.07	5.09	4.5	3.15	0	0																																																
CG9512	X	14795984	14799574	zyg	0.266347285	0	0	0	0	0.63	0	0	1.32	0.58	1.23	0.46	0.73	0	0	0	0	0	0	1.22	0.72	0.98	1.78	1.52	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG9514	X	14779984	14790921		0	0	0	0	0	0	0	0	0	1.2	1.48	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
CG9515	2L	8939779	8943264		1.308441558	0	4.4	0	0	0	0	0	0	0	0	4.03	0	0	0	0	0	0	0	0	0	0	0	3.08	3.73	0	4.4	0	0	0	0	0	0	0	0	3.49	0	0	0	0	0	0	0	0	0	0	0	2.82	0	0	0	0	0	0	0	0	0	0	0	0.54	0	0	0	0	0	0	0	0	0	0	0	0.26	0
CG9518	X	14757021	14765207		0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
CG9523	2L	6424336	6426373	mat	1.104441112	70.61	77.13	68.32	24.73	2.45	1.08	0.92	1.83	3.84	3.38	4	4.37	65.24	69.75	53.86	32.84	3.28	1.93	1.26	2.3	4.1	3.6	4.08	3.25	70.61	77.13	68.32	24.73	1.84	0	0	0	2.64	1.69	2.53	2.57	64.58	69.75	53.67	32.84	3.28	1.77	0	0	2.69	2.45	2.2	2.36	0	0	0	0	0.61	0	0	0	1.2	1.69	1.47	1.8	0.66	0	0.19	0	0	0.16	0	0	1.41	1.15	1.88	0.89
CG9526	2L	6456105	6459008	mat	0.994346328	55.26	50.79	58.15	24.36	2.91	1.82	2.04	1.93	6.92	5.26	7.24	8.41	61.06	47.91	50.56	31.39	5.69	3.45	1.7	3.11	6.22	5.92	5.57	6.64	55.26	0	58.15	0	0	0	0	0	0	0	0	0	61.06	0	50.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG9527	2L	6445069	6448016	mat	0.999437228	8.14	9.44	11.65	8.35	7.35	3.56	4.27	3.97	2.31	2.64	2.12	3.32	8.26	9.5	11.46	9.07	7.09	5.43	3.41	5.34	2.11	2.84	1.87	2.66	8.14	9.44	11.65	8.35	7.35	3.31	4.27	3.97	1.35	0	0	0	8.26	9.5	11.46	9.07	6.9	5.43	3.41	5.34	0	2.84	0	0	0	0	0	0	0	0.25	0	0	0.96	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0
CG9531	2L	6466216	6467700	matzyg	1.238914118	5.77	4.11	1.22	0.2	0.08	0.08	0.04	0.18	2.37	0.32	2.24	2.11	4.51	2.26	1.13	0.44	0.14	0.2	0.24	0.04	2.46	1.14	2.38	1.79																																																
CG9536	2L	6474433	6476972	mat	0.914043948	57.83	59.51	50.33	32.83	9.39	7.28	11.19	7.73	16.09	12.55	19.23	19.73	58.99	69.74	54.02	35.63	12.64	10.4	7.03	8.38	19.49	14.84	19.26	12.84	57.83	59.51	50.33	32.83	0	0	10.39	0	9.05	0	8.97	8.77	58.99	69.74	54.02	35.63	0	0	0	7.62	9.17	7.03	5.07	8.56	0	0	0	0	0	0	0.8	0	7.04	0	10.26	10.96	0	0	0	0	0	0	0	0.76	10.32	7.81	14.19	4.28
CG9541	2L	8970800	8974976	zyg	1.039846743	0	0	0	0	0	0	0.06	0.1	0.4	0.1	0.46	0.29	0	0	0	0	0	0.06	0.2	0	0.43	0.05	0.19	0.57																																																
CG9542	2L	6487561	6488615		0.972351875	1.23	1.5	0.58	0.81	1.34	1.32	0.8	1.27	0.91	2.04	1.87	2	1.06	1.2	0.6	1.13	1.04	1.28	1.05	2.04	1.71	1.66	1.03	1.27																																																
CG9547	2L	6492971	6494527		0	4.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
CG9548	2L	6490150	6490828	mat	1.010047142	110.7	147.79	136.55	184.16	177.6	212.28	210.13	150.99	198.36	166.1	196.54	164.11	138.42	123.88	150.51	138.45	191.62	172.16	203.76	167.32	197.6	177.53	195.44	202.33																																																
CG9550	2L	6497052	6498455	zyg	0.5	0	0	0	0	0	0	0	0	0	0	0.04	0.24	0	0	0	0	0	0	0	0	0.04	0.12	0.04	0.08																																																
CG9555	2L	8991988	8993632	zyg	1.485026042	0	0.05	0.05	0.19	0.05	0.08	0	0.25	0.17	0.1	0.78	0.35	0.11	0.14	0	0	0.08	0.22	0.19	0.09	0.13	0.38	0.25	0.52																																																
CG9571	X	19985635	19986418	mat	1.188919566	0	7.57	31.58	28.88	14.37	5.81	3.89	4.8	0.06	1.34	0.06	0.08	0.63	4.19	15.42	28.07	16.04	15.11	5.34	9.85	0	1.26	0	0.06	0	0	22.17	28.88	8.62	0	0	0	0	0	0	0	0	0	15.42	28.07	16.04	15.11	0	0	0	0	0	0	0	0	9.41	0	5.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG9572	X	20042163	20049341		0	0	0.16	0	0	0	0	0.04	0	0.07	0	0	0	0	0	0	0	0	0.07	0	0	0	0.14	0	0																																																
CG9573	2L	9012884	9014070	mat	1.05057986	4.19	1.31	1.61	0.58	1.52	1.72	2.12	1.28	1.8	1.35	1.46	1.77	1.72	2.4	1.06	1.44	1.9	0.96	1.36	1.27	1.69	1.01	1.65	1.74																																																
CG9576	X	20054385	20056763	matzyg	1.289925209	30.91	15.49	7.18	1.25	2.35	0.77	2.21	4.39	10.06	7.18	12.6	8.59	17.96	18.82	4.08	1.4	0.84	1.01	1.26	0.52	8.21	3.67	7.52	6.47	30.91	0	0	0	0	0	0	0	0	3.26	0	0	17.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG9577	X	20060707	20062113	mat	0.902518424	20.52	14.97	7.64	7.38	4.58	6.64	6.07	5.38	10.32	5.19	8.8	4.57	17.87	22.6	10.25	5.67	3.73	4.11	5.82	3.2	3.91	5.7	8.11	5.85																																																
CG9578	X	20064247	20065559	mat	1.097984176	40.99	31.15	23.39	23.63	9.23	7.01	8.88	7.33	4.65	3.14	3.25	2.97	34.29	31.21	25.43	16.68	9.57	6.16	4.39	8.21	2.32	3.04	3.27	2.14	0	31.15	23.39	23.63	0	0	0	7.33	2.74	0	0	0	34.29	31.21	25.43	16.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG9581	X	20062074	20064013	mat	0.970024295	43.22	54.27	37.3	43.07	41.45	42.83	64.36	50.25	53.21	49.37	39.05	37.45	33.4	76.16	44.73	38.11	44.93	51.97	53.76	41.74	31.83	49.09	42.67	30.28																																																
CG9582	2L	9024449	9025404		1.882352941	0	0	0	0	0	0	0	0.06	0.32	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0																																																
CG9586	2L	9165420	9166543	mat	1.034354155	88.02	93.94	91.49	125.55	98.04	112.24	96.83	115.71	102.32	107.86	105.87	85.66	94.14	67.47	95.59	108.34	101.26	98.48	100.08	110.7	112.18	107.45	87	111.2	88.02	93.94	91.49	125.55	98.04	112.24	95.48	114.42	93.9	103.96	93.11	76.86	93.74	67.47	95.27	108.34	101.26	97.75	98.14	108.04	98.41	101.44	72.08	93.61	0	0	0	0	0	0	1.35	1.29	8.42	3.9	12.76	8.8	0.4	0	0.32	0	0	0.73	1.94	2.66	13.77	6.01	14.92	17.59
CG9588	3R	9500813	9502398	zyg	0.814610532	6.68	3.54	0	0.69	0	1.06	1.58	2.84	13.46	6.37	17.45	15.84	3.92	5.87	1.48	0	0.64	0.67	3.6	1.15	17.97	7.89	20.09	19.57																																																
CG9589	3R	11614242	11615214	zyg	0.892884054	0.13	0	0	0	0	0.11	0.27	0.06	1.25	0.51	3.65	3.23	0.22	0	0	0	0.05	0.06	0.68	0	2.57	0.96	2.99	3.08	0	0	0	0	0	0	0	0	0	0	1.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13	0	0	0	0	0	0	0	0	0	0	0	0	0
CG9590	3R	11612422	11614063	mat	1.111727087	40.83	42.73	36.05	27.03	12.58	6.96	9.09	10.42	17.47	13.56	19.91	23.05	35.13	36.69	30.94	20.4	14.61	12.68	6.97	9.16	20.98	12.63	22.22	16.03	40.83	42.73	36.05	27.03	12.58	0	9.09	9.43	11.33	12.99	13.15	11.82	35.13	36.69	30.94	20.4	14.61	12.68	6.97	0	9.59	8.08	15.46	10.08	0	0	0	0	0	0	0	0.99	6.14	0.57	6.76	11.23	0	0	0	0	0	0	0	0	11.39	4.55	6.76	5.95
CG9592	3L	14510992	14511577		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0																																																
CG9593	3R	11627865	11629261	zyg	0.742767916	0.41	0.55	0.05	0	0.27	0.09	0	0.06	0.14	0.11	0.53	1.58	0.06	0.24	0.05	0.45	0	0.1	0.09	0.21	0.35	0.19	0.46	0.85																																																
CG9596	2L	6560130	6561660	mat	1.014931487	30.71	26.03	28.26	26.63	20.88	15.61	17.09	21.47	17.93	20.39	19.56	20.36	28.48	24.76	29.14	24.02	18.88	18.69	16	17.08	23.21	17.3	19.52	20.93																																																
CG9601	3R	4167382	4169219	mat	0.942270737	46.79	31.89	50.12	41.71	27.33	21.45	14.65	23.18	18.03	24.23	30.78	25.7	62.36	26.23	45.11	41.26	25.75	26.17	13.76	26.77	25.93	22.19	26.08	21.52	46.79	31.89	50.12	41.71	27.33	21.45	14.27	23.18	13.61	21.85	18.04	18.78	62.36	26.23	45.11	40.41	25.75	25.39	13.76	26.77	14.22	18.93	18.67	16.49	0	0	0	0	0	0	0.38	0	4.42	2.38	12.74	6.92	0	0	0	0.85	0	0.78	0	0	11.71	3.26	7.41	5.03
CG9602	3R	9543171	9543888		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.09	0	0	0	0	0	0	0	0																																																
CG9603	3R	4165665	4166763	mat	0.974115163	238.68	173.54	140.4	145.84	81.44	109.78	115.72	88.58	119.22	76.29	122.46	85.88	232.1	142.24	178.65	148.04	95.27	99.27	92.94	90.04	137.95	111.76	135.55	107.96																																																
CG9609	X	16679397	16681011	mat	1.240301671	22.69	10.56	4.42	1.26	0.52	1	2.2	1.79	3.86	2.94	3.55	2.3	15.96	12.21	1.32	0.43	0.35	0.32	0.64	1.27	1.71	0.83	2.16	0.95																																																
CG9619	3L	19274463	19281669	zyg	1.459729152	0.03	0.15	0	0	0.03	0.01	0.01	0.03	0.37	0.14	0.41	0.77	0	0	0.01	0	0	0	0	0	0.21	0.14	0.31	0.24																																																
CG9624	3R	10053921	10054882		0	0	0.06	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
CG9626	3R	4119564	4125620	zyg	0.629265003	0.08	0.11	0.02	0.06	0.03	0.02	0.01	0.08	0.37	0.68	0.4	0.73	0.01	0.14	0.06	0	0.05	0.04	0	0.03	0.41	0.29	0.74	0.29																																																
CG9628	3L	14615909	14621274	zyg	1.554477283	0.58	0	0	0	0	0.06	0	0.28	1.1	0.84	1.22	0.55	0.08	0	0.05	0	0.06	0	0.16	0.53	0.75	1.41	0.73	0.9																																																
CG9629	3L	19259571	19262009	zyg	0.814541623	1.02	1.15	0	0	0	0	1.7	0	6.41	4.51	10.38	13.24	0	0.64	0	0	0	0	2.22	1.37	8.4	4.1	12.4	11.12	0	0	0	0	0	0	0	0	3.45	0	4.5	6.3	0	0	0	0	0	0	0	0	2.24	0	5.46	5.56	0	0	0	0	0	0	0	0	2.96	0	5.88	6.94	0	0	0	0	0	0	0	0	6.16	0	6.94	5.56
CG9630	3R	4093656	4095604	matzyg	0.832506389	8.25	4.61	3.89	0.88	1.07	0.66	1.23	1.4	12.93	7.81	19.35	21.63	7.36	5.36	3.04	0.94	0.98	0.78	1.63	1.01	18.07	7.19	22.3	19.19																																																
CG9631	3R	10050819	10052468		0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
CG9632	3R	11685917	11687200		0	0	0	0	0	0	0	0	0.16	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0																																																
CG9634	X	16621335	16645943	matzyg	1.052375066	14.37	8.62	14.96	13.91	12.88	11.49	12.07	20.66	31.28	28.42	40.47	37.58	14.54	9.68	17.23	19.65	13.37	14.14	11.9	16.64	30.59	22.72	30.06	26.3																																																
CG9636	3R	4066465	4069486	mat	0.928235389	60.52	44.79	67.68	18.06	4.24	2.87	2.52	4.21	11.47	10.59	15.76	18.92	79.6	38.58	43.01	33.87	5.73	4.73	2.47	5.05	15.75	12.57	14.6	10.87	60.52	44.79	67.68	18.06	4.24	0	0	4.21	7.65	7.86	10.11	11	79.6	38.58	42.75	33.87	5.43	4.39	0	4.71	11.49	9.82	11.06	6.52	0	0	0	0	0	0	0	0	3.82	2.73	5.65	7.92	0	0	0.26	0	0.3	0.34	0	0.34	4.26	2.75	3.54	4.35
CG9640	2R	12932460	12934273	zyg	0.835056515	0	0	0	0	0.51	0.15	0.63	0.53	2.06	1.92	3.13	3.36	0	0	0	0	0.03	0.35	1.48	0.24	3.03	2.34	2.74	3.22																																																
CG9641	2L	2974853	2976859	mat	1.142691932	98.56	66.05	83.53	39.02	9.53	4.64	3.56	5.66	1.55	1.39	2.12	2.26	97.36	61.89	46.47	30.88	8.28	7.07	4.12	7.17	1.54	1.69	1.86	1.75																																																
CG9642	2R	12934349	12936012		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0																																																
CG9643	2L	2978525	2979410	matzyg	0.970119577	23.34	25.57	19.26	24.35	18.68	19.21	18.97	16.43	34.38	28.64	41.88	39.25	26.04	20.66	21.17	16.51	19.27	19.34	20.29	17.1	43.21	28.26	38.76	46.96																																																
CG9646	2R	12936379	12941360	mat	0.956891604	27.29	25.21	35.04	30.34	36.46	29.08	26.53	48.28	19.8	42.45	15.63	18.94	32.13	29.15	33.62	37.88	33.73	38.67	26.62	43.37	11.1	37.33	12.56	8.54	27.29	25.21	35.04	30.34	36.46	29.08	26.53	47.96	18.98	42.09	15.63	18.94	32.13	29.15	33.62	37.88	33.73	38.67	26.43	43.37	10.84	36.86	12.56	8.54	0	0	0	0	0	0	0	0.32	0.83	0.36	0	0	0	0	0	0	0	0	0.19	0	0.26	0.47	0	0
CG9650	X	7087108	7134453	mat	0.675928658	2.53	1.81	1.24	0.65	0.09	0	0	0.08	0.02	0.06	0.04	0.07	2.27	3.69	1.13	1.28	0.02	0.04	0	0.01	0	0	0.05	0.02																																																
CG9657	X	7312627	7315672		0	0	0	0	0	0	0	0	0	0.07	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
CG9662	2L	3375884	3376686	mat	1.020666788	74.85	79.73	78.65	115.15	98.9	111.91	106.19	92.6	84.74	84.63	66.51	68.49	75.75	78.57	80.15	97.08	103.38	100.96	105.19	81.52	76.5	98.83	75.37	67.18																																																
CG9663	2L	3294925	3303129	mat	1.106691517	12.04	12.62	17.39	11.76	6.63	3.24	2.43	3.6	1.01	0.59	1.51	6.14	13.29	9.49	13.03	11.84	6.86	4.99	1.51	4.34	1.83	0.47	1.44	3.99	12.04	12.62	5.09	2.52	0	0	0	0	0	0	0	0	13.29	9.49	13.03	11.84	0	0	0	0	0	0	0	0	0	0	12.3	9.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG9664	2L	3291244	3294682	zyg	0.821428571	0	0	0	0	0.05	0.02	0	0.08	0.02	0.08	0.04	0.03	0	0	0	0	0.06	0	0	0.1	0.04	0.04	0.02	0.08																																																
CG9666	3L	19257200	19259938	mat	0.976938025	38.4	96.28	27.72	86.24	88.73	94.08	103.57	87.19	38.18	22.33	51.13	22.06	33.98	98.84	82.91	48.58	40.62	23.89	103.04	40.95	50.67	33.31	24.46	33.46	38.4	96.28	0	86.24	88.73	94.08	103.57	82.83	37.38	18.8	44.46	18.05	0	0	0	0	40.62	23.89	103.04	38.9	36.48	32.24	22.77	28.03	0	0	0	0	0	0	0	4.36	0.8	3.53	6.67	4.01	0	0	0	0	0	0	0	2.05	14.19	1.07	1.69	5.43
CG9667	3R	3951008	3952055	matzyg	0.881945324	24.04	24.66	25.87	32.75	30.22	37.53	31.44	32.96	47.67	49.4	73.52	59.45	25.18	23.11	29.59	23.73	32.88	31.94	37.37	36.46	73.92	50.51	68.6	73.37																																																
CG9669	3L	16837667	16838165	mat	0.906553574	50.09	32.53	69.09	88.45	88.16	107.1	58.82	65.8	59.65	50.87	70.74	57.75	74.08	24.5	77.12	68.81	73.13	70.16	72.76	67.39	89.03	63.55	76.93	82	50.09	32.53	69.09	88.45	87.26	103.44	58	65.8	57.63	48.39	62.88	51.98	72.92	24.5	77.12	68.81	72.41	70.16	72.76	67.39	82.18	63.55	72.66	68.33	0	0	0	0	0.9	3.66	0.82	0	2.02	2.48	7.86	5.78	1.16	0	0	0	0.72	0	0	0	6.85	0	4.27	13.67
CG9673	X	16596896	16597912		0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
CG9674	3L	16780914	16800828	mat	0.97934547	9.97	5.18	5.02	2.05	1.06	0.45	0.91	1.28	1.9	0.88	1.64	3.17	9.21	6.41	4.53	3.35	0.87	1.09	0.68	1.01	1.4	1.38	2.27	1.02																																																
CG9682	3R	26076643	26078557		0	0	0	0	0.14	0	0	0	0	0	0	0	0.04	0.08	0.05	0	0	0.03	0.03	0	0	0	0	0	0																																																
